,Gender,Age,Father_Occupation,Intermediate_College,Current_Attendance,Self_Study_Time,Living_with_Family_or_Bachelor,Supplements_in_recent result,No_of_Family_Members,Father_Status,Free_Time,Admission,Accommodation,Internet,Gadgets,GPA
14,Male,19,Businessman,Private,76.0,3h to 5h,Family,0,5,Alive,6h to 10h,Merit,Owned,Yes,Mobile,2.7
15,Male,19,Doctor,Govt.,76.0,1.5h to 3h,Bachelor,0,7,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.7
16,Female,19,Other,Govt.,77.0,8h+,Bachelor,0,7,Alive,6h to 10h,Merit,Rented,Yes,"Mobile, Laptop, Printer",3.0
17,Male,20,Engineer,Private,78.0,3h to 5h,Family,0,5,Alive,4h to 6h,Merit,Owned,Yes,Mobile,3.3
18,Male,20,Other,Govt.,76.0,5h to 8h,Bachelor,0,6,Alive,6h to 10h,Merit,Owned,Yes,"Mobile, Laptop",3.0
19,Male,18,Businessman,Private,87.0,1.5h to 3h,Family,0,5,Alive,4h to 6h,Merit,Rented,Yes,Mobile,3.3
20,Male,19,"Services (i.e. Police, Railways, Administrative etc.)",Govt.,88.0,1.5h to 3h,Bachelor,0,6,Alive,6h to 10h,Merit,Rented,Yes,"Mobile, Laptop",3.7
21,Male,20,Teacher,Govt.,89.0,5h to 8h,Family,0,5,Alive,3h to 4h,Self-Finance,Rented,Yes,"Mobile, Laptop",3.7
22,Male,18,Engineer,Govt.,85.0,3h to 5h,Family,0,7,Alive,6h to 10h,Merit,Owned,Yes,"Mobile, Laptop",2.3
23,Male,19,"Services (i.e. Police, Railways, Administrative etc.)",Govt.,89.0,3h to 5h,Family,0,5,Alive,3h to 4h,Self-Finance,Owned,Yes,Mobile,4.0
24,Male,20,Teacher,Govt.,86.6,1h to 1.5h,Family,0,5,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Computer",3.0
25,Male,20,Engineer,Private,71.0,8h+,Family,0,7,Alive,4h to 6h,Self-Finance,Owned,Yes,Mobile,4.0
26,Female,18,Other,Private,92.0,3h to 5h,Family,0,5,Alive,3h to 4h,Self-Finance,Owned,Yes,"Mobile, Laptop",3.7
27,Male,18,Other,Private,87.0,1.5h to 3h,Family,0,8,Alive,6h to 10h,Merit,Owned,Yes,"Mobile, Laptop, Printer",3.3
28,Male,19,Doctor,Private,87.0,5h to 8h,Family,0,9,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.3
29,Male,19,Businessman,Private,76.0,1.5h to 3h,Bachelor,0,3,Decease,6h to 10h,Self-Finance,Rented,Yes,"Mobile, Laptop",3.7
30,Male,19,Teacher,Private,89.0,1.5h to 3h,Family,0,7,Alive,6h to 10h,Self-Finance,Owned,Yes,"Mobile, Laptop, Printer",3.7
31,Male,19,Teacher,Private,79.0,8h+,Bachelor,0,6,Alive,3h to 4h,Self-Finance,Rented,Yes,"Mobile, Laptop",4.0
32,Male,19,Businessman,Govt.,89.0,3h to 5h,Bachelor,0,5,Alive,4h to 6h,Self-Finance,Rented,Yes,"Mobile, Laptop",4.0
33,Male,21,Engineer,Govt.,78.0,1.5h to 3h,Family,0,6,Alive,3h to 4h,Self-Finance,Owned,Yes,"Mobile, Laptop, Computer, Printer",3.0
34,Male,20,Businessman,Govt.,81.0,8h+,Bachelor,0,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.3
35,Male,18,Engineer,Private,71.0,5h to 8h,Family,0,7,Alive,6h to 10h,Self-Finance,Owned,Yes,"Mobile, Laptop",3.3
36,Male,18,Teacher,Private,81.0,1.5h to 3h,Family,1,3,Alive,3h to 4h,Self-Finance,Owned,Yes,"Mobile, Laptop",4.0
37,Male,20,Teacher,Private,71.0,1.5h to 3h,Bachelor,0,5,Alive,3h to 4h,Merit,Rented,Yes,Mobile,2.7
38,Male,18,Other,Govt.,76.0,3h to 5h,Family,0,8,Alive,3h to 4h,Self-Finance,Rented,Yes,"Mobile, Laptop, Printer",2.7
39,Female,18,Businessman,Govt.,77.0,1.5h to 3h,Bachelor,0,7,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",2.7
40,Male,19,Not Applicable,Govt.,55.0,5h to 8h,Family,0,9,Decease,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",4.0
41,Male,20,Engineer,Private,76.0,1.5h to 3h,Family,0,9,Alive,6h to 10h,Self-Finance,Owned,Yes,"Mobile, Laptop",2.7
42,Male,19,Teacher,Private,77.0,5h to 8h,Bachelor,0,6,Alive,6h to 10h,Merit,Rented,Yes,"Mobile, Laptop",3.0
43,Male,19,Engineer,Private,70.0,1.5h to 3h,Family,0,5,Alive,6h to 10h,Self-Finance,Owned,No,Mobile,3.3
44,Male,19,Doctor,Govt.,76.0,1.5h to 3h,Bachelor,0,5,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.3
45,Male,20,Other,Private,77.0,3h to 5h,Bachelor,0,6,Alive,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",3.3
46,Male,19,Other,Private,100.0,3h to 5h,Family,0,6,Decease,3h to 4h,Merit,Rented,Yes,"Mobile, Laptop",2.7
47,Male,18,Businessman,Govt.,85.0,3h to 5h,Bachelor,0,6,Alive,3h to 4h,Merit,Rented,Yes,Mobile,3.3
